Référence produit;Libelle produit;Description courte;Description longue;Identifiant Fournisseur;Nom fournisseur;Prix produit;Photo produit
guitare001;Clatronic;Phasellus auctor mattis justo;Phasellus auctor mattis justo, in semper urna congue eget. Nunc sit amet nunc sed dui fringilla scelerisque a eget sem. Aenean cursus eros vehicula arcu blandit, sit amet faucibus leo finibus. Duis pharetra felis eget viverra tempor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas;1;Music 75;110.00;jpg
guitare002;Camping;Fusce interdum ex justo;Fusce interdum ex justo, vel imperdiet erat volutpat non. Donec et maximus lacus. ;4;Corrida Music;300.00;jpg
guitare003;Green;Pellentesque ultrices;Pellentesque ultrices vestibulum sagittis.;1;Music 75;299.99;jpg
guitare004;Silver;Sed lobortis pulvinar orci;Sed lobortis pulvinar orci, ut efficitur urna egestas eu.;3;Droit Music;999.00;jpg
percussion001;Einhell;luctus aliquet enim.;luctus aliquet enim. Phasellus quis velit quis tellus pharetra aliquam in at urna. Cras vitae turpis erat. Phasellus libero arcu, fringilla sit amet tempus blandit, congue eu nulla. Morbi id efficitur tellus.;2;Royez Music;699.00;jpg
percussion002;Grizzly;Quisque nec nisi risus;Quisque nec nisi risus. Fusce eu est non velit mollis tristique a et magna. Proin sodales.;1;Music 75;789.00;jpg
percussion003;Hero;uis vehicula risus in nibh lobortis euismod.;uis vehicula risus in nibh lobortis euismod. In hac habitasse platea dictumst. Quisque at sagittis nunc. Phasellus ac gravida lorem. Aliquam sed aliquam nisl. Etiam non ornare sapien.;3;Droit Music;345.00;jpg
percussion004;SL 1280;Aenean ut tellus non risus varius;Aenean ut tellus non risus varius bibendum quis vel ligula.;4;Corrida Music;110.99;jpg
piano001;Aramis ;Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit. In porttitor sit amet ipsum sit amet dapibus. Cras suscipit neque ac magna sagittis lobortis. Duis venenatis enim ac nisl luctus, a scelerisque velit porttitor. Integer nec massa quis urna mollis consectetur et et nisl. Nullam eget nunc vitae nisl convallis faucibus. Vestibulum dapibus, metus nec molestie lobortis, nunc sem mollis tortor, et auctor dolor nunc at nisi. Pellentesque sit amet turpis nisi. ;1;Music 75;1110.00;jpg
piano002;Athos;Cu rabitur pellentesque posuere luctus;Cu rabitur pellentesque posuere luctus. Sed et risus vel quam pharetra pretium non quis odio. Praesent varius risus vel orci ultrices tincidunt.;2;Royez Music;1200.00;jpg
piano003;Red;Phasellus ac gravida lorem;Phasellus ac gravida lorem. Aliquam sed aliquam nisl. Etiam non ornare sapien. Aenean ut tellus non risus varius bibendum quis vel ligula.;4;Corrida Music;2310.00;jpg
piano004;Chrome;Fusce rutrum odio sem;Fusce rutrum odio sem, quis finibus nisl finibus a. Praesent dictum ex in lectus porta, vitae varius lacus eleifend. Sed sed lacinia mi, sed egestas odio. Integer a congue lectus.;3;Droit Music;4500.00;png
saxophone001;Yellow;Nulla at;Nulla at consequat orci.;2;Royez Music;300.00;jpg
saxophone002;Saxo GA 410;Curabitur varius interdum nulla;Curabitur varius interdum nulla, sit amet consequat massa. Vestibulum rutrum leo lectus. Phasellus sit amet viverra velit.;1;Music 75;450.00;jpg
saxophone003;Saxo GA 388;Pellentesque fermentum ut est sagittis feugiat;Pellentesque fermentum ut est sagittis feugiat. Morbi in turpis augue. Maecenas dapibus ligula velit, ac gravida risus imperdiet in.;4;Corrida Music;610.00;jpg
sono001;Attila;aliquet accumsan eleifend.;aliquet accumsan eleifend. Pellentesque mauris tortor, ultricies a pulvinar ut, fringilla ac mi. Sed consequat, nibh at tempus porttitor, tellus nunc dictum nulla, sed finibus felis augue sed libero. Donec augue mi, mattis et orci ac, mollis feugiat elit.;4;Corrida Music;110.90;png
sono002;Aquitaine;Morbi porta ultricies nibh vel varius.;Morbi porta ultricies nibh vel varius. Vestibulum nec rutrum ex, vel posuere nisi. Ut scelerisque sit amet ligula sed imperdiet. Morbi lacinia sapien in elementum iaculis. Vivamus a ultrices enim.;3;Droit Music;220.00;jpg
sono003;Brown;Quisque fermentum, dui eu elementum sagittis;Quisque fermentum, dui eu elementum sagittis, risus lorem placerat ipsum, vitae venenatis tellus sapien id nibh. Suspendisse et aliquet tellus, in suscipit magna.;2;Royez Music;1100.00;jpg
